iter	Passed	Remaining
0	61	61418
1	61	30855
2	62	20664
3	62	15569
4	62	12513
5	63	10484
6	63	9033
7	64	7948
8	64	7096
9	64	6425
10	65	5866
11	65	5408
12	66	5019
13	66	4682
14	66	4393
15	67	4137
16	67	3908
17	68	3712
18	68	3533
19	68	3372
20	69	3222
21	69	3085
22	69	2965
23	70	2857
24	70	2755
25	71	2660
26	71	2573
27	71	2491
28	72	2416
29	72	2342
30	72	2276
31	73	2213
32	73	2153
33	73	2097
34	74	2044
35	74	1994
36	74	1946
37	75	1899
38	75	1857
39	75	1816
40	76	1778
41	76	1741
42	76	1707
43	77	1675
44	77	1645
45	77	1614
46	78	1586
47	78	1557
48	78	1530
49	79	1504
50	79	1478
51	79	1454
52	80	1431
53	80	1410
54	80	1389
55	81	1369
56	81	1350
57	82	1332
58	82	1314
59	82	1296
60	83	1278
61	83	1264
62	83	1248
63	84	1233
64	84	1218
65	85	1204
66	85	1190
67	85	1177
68	86	1164
69	86	1151
70	87	1139
71	87	1126
72	87	1112
73	88	1102
74	88	1090
75	88	1079
76	89	1067
77	89	1056
78	89	1045
79	89	1034
80	90	1024
81	90	1013
82	90	1004
83	91	995
84	91	987
85	92	979
86	92	970
87	92	961
88	93	953
89	93	944
90	93	936
91	93	927
92	94	919
93	94	912
94	95	905
95	95	898
96	95	891
97	96	884
98	96	878
99	96	871
100	97	864
101	97	857
102	97	851
103	98	844
104	98	837
105	98	831
106	98	825
107	99	820
108	99	814
109	100	809
110	100	804
111	100	799
112	101	793
113	101	787
114	101	781
115	101	776
116	102	771
117	102	767
118	103	763
119	103	758
120	103	753
121	104	748
122	104	743
123	104	739
124	104	734
125	105	730
126	105	725
127	105	720
128	106	717
129	106	713
130	106	709
131	107	705
132	107	701
133	108	698
134	108	694
135	108	691
136	109	688
137	109	684
138	109	681
139	110	677
140	110	673
141	110	670
142	111	666
143	111	663
144	111	659
145	112	656
146	112	653
147	112	650
148	113	647
149	113	644
150	113	640
151	114	637
152	114	634
153	115	631
154	115	629
155	115	626
156	116	623
157	116	620
158	116	617
159	116	614
160	117	611
161	117	607
162	117	605
163	118	603
164	118	600
165	119	598
166	119	595
167	119	593
168	120	590
169	120	588
170	120	585
171	121	583
172	121	581
173	122	579
174	122	577
175	122	574
176	123	572
177	123	570
178	123	568
179	124	566
180	124	564
181	124	561
182	125	559
183	125	556
184	125	554
185	126	551
186	126	549
187	126	547
188	127	545
189	127	543
190	127	541
191	128	539
192	128	537
193	128	535
194	129	533
195	129	531
196	129	529
197	130	527
198	130	525
199	130	523
200	131	521
201	131	520
202	132	518
203	132	516
204	132	515
205	133	513
206	133	511
207	133	510
208	134	508
209	134	506
210	135	505
211	135	503
212	135	502
213	136	500
214	136	499
215	137	498
216	137	496
217	137	494
218	138	493
219	138	491
220	139	490
221	139	488
222	139	486
223	140	485
224	140	483
225	140	481
226	141	480
227	141	478
228	141	476
229	141	475
230	142	473
231	142	471
232	142	470
233	143	468
234	143	467
235	143	465
236	144	463
237	144	462
238	144	460
239	145	459
240	145	457
241	145	456
242	145	454
243	146	453
244	146	451
245	147	450
246	147	449
247	147	448
248	148	446
249	148	445
250	148	444
251	149	443
252	149	441
253	150	440
254	150	439
255	150	437
256	150	436
257	151	435
258	151	433
259	151	432
260	152	431
261	152	430
262	153	428
263	153	427
264	153	426
265	154	425
266	154	424
267	154	422
268	155	421
269	155	420
270	155	419
271	156	418
272	156	417
273	157	416
274	157	415
275	157	414
276	158	412
277	158	411
278	158	410
279	159	408
280	159	407
281	159	406
282	159	405
283	160	403
284	160	402
285	160	401
286	161	400
287	161	399
288	162	398
289	162	397
290	162	396
291	163	395
292	163	394
293	163	393
294	163	391
295	164	390
296	164	389
297	164	388
298	165	387
299	165	385
300	165	384
301	166	383
302	166	382
303	166	381
304	166	380
305	167	379
306	167	378
307	167	377
308	168	375
309	168	374
310	168	373
311	169	372
312	169	371
313	169	370
314	170	369
315	170	368
316	170	368
317	171	367
318	171	366
319	171	365
320	172	364
321	172	363
322	172	362
323	173	361
324	173	360
325	173	359
326	174	358
327	174	357
328	174	356
329	175	355
330	175	354
331	175	353
332	175	352
333	176	351
334	176	350
335	176	349
336	177	348
337	177	348
338	178	347
339	178	346
340	178	345
341	179	344
342	179	343
343	179	342
344	180	341
345	180	341
346	180	340
347	181	339
348	181	338
349	182	338
350	182	337
351	182	336
352	183	335
353	183	335
354	183	334
355	184	333
356	184	332
357	185	331
358	185	331
359	185	330
360	186	329
361	186	328
362	186	328
363	187	327
364	187	326
365	187	325
366	188	324
367	188	324
368	189	323
369	189	322
370	189	321
371	190	321
372	190	320
373	190	319
374	191	318
375	191	318
376	191	317
377	192	316
378	192	315
379	193	315
380	193	314
381	193	313
382	194	313
383	194	312
384	195	311
385	195	311
386	195	310
387	196	309
388	196	308
389	196	307
390	197	307
391	197	306
392	197	305
393	198	304
394	198	304
395	198	303
396	199	302
397	199	301
398	199	300
399	200	300
400	200	299
401	200	298
402	201	298
403	201	297
404	202	296
405	202	296
406	202	295
407	203	294
408	203	294
409	204	293
410	204	293
411	205	292
412	205	292
413	205	291
414	206	290
415	206	289
416	206	289
417	207	288
418	207	287
419	208	287
420	208	286
421	208	285
422	209	285
423	209	284
424	209	284
425	210	283
426	210	282
427	211	282
428	211	281
429	211	280
430	212	280
431	212	279
432	213	279
433	213	278
434	213	277
435	214	277
436	214	276
437	215	276
438	215	275
439	215	274
440	216	274
441	216	273
442	217	272
443	217	272
444	217	271
445	217	270
446	218	270
447	218	269
448	219	268
449	219	268
450	219	267
451	220	266
452	220	266
453	220	265
454	220	264
455	221	263
456	221	263
457	221	262
458	221	261
459	222	260
460	222	260
461	222	259
462	222	258
463	223	257
464	223	256
465	223	256
466	223	255
467	224	254
468	224	253
469	224	253
470	224	252
471	225	251
472	225	251
473	225	250
474	225	249
475	226	248
476	226	248
477	226	247
478	226	246
479	227	246
480	227	245
481	227	244
482	227	243
483	228	243
484	228	242
485	228	241
486	228	241
487	229	240
488	229	239
489	229	239
490	230	238
491	230	237
492	230	237
493	230	236
494	231	235
495	231	235
496	231	234
497	232	233
498	232	233
499	232	232
500	232	231
501	233	231
502	233	230
503	233	229
504	233	229
505	234	228
506	234	227
507	234	227
508	234	226
509	235	225
510	235	225
511	235	224
512	235	223
513	236	223
514	236	222
515	236	221
516	236	221
517	236	220
518	237	219
519	237	219
520	237	218
521	237	217
522	238	217
523	238	216
524	238	215
525	238	215
526	239	214
527	239	214
528	239	213
529	239	212
530	240	212
531	240	211
532	240	210
533	241	210
534	241	209
535	241	209
536	241	208
537	242	207
538	242	207
539	242	206
540	242	205
541	242	205
542	243	204
543	243	204
544	243	203
545	243	202
546	244	202
547	244	201
548	244	200
549	244	200
550	245	199
551	245	199
552	245	198
553	245	197
554	246	197
555	246	196
556	246	196
557	246	195
558	247	194
559	247	194
560	247	193
561	247	193
562	248	192
563	248	192
564	248	191
565	248	190
566	249	190
567	249	189
568	249	189
569	249	188
570	250	187
571	250	187
572	250	186
573	250	186
574	251	185
575	251	184
576	251	184
577	251	183
578	252	183
579	252	182
580	252	182
581	252	181
582	252	180
583	253	180
584	253	179
585	253	179
586	253	178
587	254	178
588	254	177
589	254	176
590	254	176
591	255	175
592	255	175
593	255	174
594	255	174
595	256	173
596	256	173
597	256	172
598	256	172
599	257	171
600	257	170
601	257	170
602	258	169
603	258	169
604	258	168
605	258	168
606	259	167
607	259	167
608	259	166
609	259	166
610	260	165
611	260	165
612	260	164
613	260	164
614	261	163
615	261	162
616	261	162
617	261	161
618	262	161
619	262	160
620	262	160
621	262	159
622	263	159
623	263	158
624	263	158
625	263	157
626	264	157
627	264	156
628	264	156
629	264	155
630	265	154
631	265	154
632	265	153
633	265	153
634	266	152
635	266	152
636	266	151
637	266	151
638	267	150
639	267	150
640	267	149
641	267	149
642	268	148
643	268	148
644	268	147
645	268	147
646	269	146
647	269	146
648	269	145
649	269	145
650	270	144
651	270	144
652	270	143
653	270	143
654	271	142
655	271	142
656	271	141
657	271	141
658	272	140
659	272	140
660	272	139
661	272	139
662	273	138
663	273	138
664	273	137
665	273	137
666	274	136
667	274	136
668	274	135
669	274	135
670	275	134
671	275	134
672	275	133
673	275	133
674	276	132
675	276	132
676	276	131
677	276	131
678	277	131
679	277	130
680	277	130
681	277	129
682	278	129
683	278	128
684	278	128
685	278	127
686	279	127
687	279	126
688	279	126
689	279	125
690	279	125
691	280	124
692	280	124
693	280	123
694	280	123
695	281	122
696	281	122
697	281	121
698	282	121
699	282	120
700	282	120
701	282	120
702	283	119
703	283	119
704	283	118
705	283	118
706	284	117
707	284	117
708	284	116
709	284	116
710	285	115
711	285	115
712	285	114
713	285	114
714	286	114
715	286	113
716	286	113
717	286	112
718	286	112
719	287	111
720	287	111
721	287	110
722	287	110
723	288	109
724	288	109
725	288	108
726	289	108
727	289	108
728	289	107
729	289	107
730	290	106
731	290	106
732	290	105
733	290	105
734	291	104
735	291	104
736	291	104
737	291	103
738	292	103
739	292	102
740	292	102
741	292	101
742	293	101
743	293	100
744	293	100
745	293	100
746	294	99
747	294	99
748	294	98
749	294	98
750	295	97
751	295	97
752	295	96
753	295	96
754	296	96
755	296	95
756	296	95
757	296	94
758	297	94
759	297	93
760	297	93
761	298	93
762	298	92
763	298	92
764	298	91
765	299	91
766	299	90
767	299	90
768	299	90
769	300	89
770	300	89
771	300	88
772	300	88
773	301	87
774	301	87
775	301	87
776	302	86
777	302	86
778	302	85
779	302	85
780	303	84
781	303	84
782	303	84
783	303	83
784	304	83
785	304	82
786	304	82
787	304	82
788	305	81
789	305	81
790	305	80
791	306	80
792	307	80
793	307	79
794	307	79
795	307	78
796	308	78
797	308	78
798	308	77
799	308	77
800	309	76
801	309	76
802	309	75
803	309	75
804	310	75
805	310	74
806	310	74
807	311	73
808	311	73
809	311	73
810	311	72
811	312	72
812	312	71
813	312	71
814	312	71
815	313	70
816	313	70
817	313	69
818	313	69
819	314	68
820	314	68
821	314	68
822	315	67
823	315	67
824	315	66
825	315	66
826	316	66
827	316	65
828	316	65
829	317	64
830	317	64
831	317	64
832	318	63
833	318	63
834	318	62
835	318	62
836	319	62
837	319	61
838	319	61
839	319	60
840	320	60
841	320	60
842	320	59
843	320	59
844	321	58
845	321	58
846	321	58
847	321	57
848	322	57
849	322	56
850	322	56
851	323	56
852	323	55
853	323	55
854	323	54
855	323	54
856	324	54
857	324	53
858	324	53
859	325	52
860	325	52
861	325	52
862	325	51
863	326	51
864	326	50
865	326	50
866	327	50
867	327	49
868	327	49
869	327	48
870	328	48
871	328	48
872	328	47
873	329	47
874	329	47
875	329	46
876	329	46
877	330	45
878	330	45
879	330	45
880	330	44
881	331	44
882	331	43
883	331	43
884	332	43
885	332	42
886	332	42
887	332	41
888	333	41
889	333	41
890	333	40
891	333	40
892	334	40
893	334	39
894	334	39
895	334	38
896	335	38
897	335	38
898	335	37
899	335	37
900	336	36
901	336	36
902	336	36
903	336	35
904	337	35
905	337	35
906	337	34
