iter	Passed	Remaining
0	59	59295
1	59	29832
2	60	19958
3	60	15041
4	60	12087
5	61	10113
6	61	8698
7	61	7648
8	62	6833
9	62	6178
10	62	5634
11	62	5184
12	63	4801
13	63	4480
14	64	4210
15	64	3959
16	65	3760
17	65	3567
18	65	3390
19	65	3231
20	66	3088
21	66	2968
22	67	2850
23	67	2745
24	67	2649
25	68	2565
26	68	2485
27	69	2407
28	69	2340
29	70	2272
30	70	2205
31	70	2143
32	71	2084
33	71	2030
34	71	1979
35	72	1933
36	72	1888
37	72	1845
38	73	1803
39	73	1766
40	73	1729
41	74	1694
42	74	1660
43	74	1627
44	75	1596
45	75	1566
46	75	1536
47	76	1508
48	76	1481
49	76	1457
50	76	1432
51	77	1408
52	77	1387
53	77	1366
54	78	1345
55	78	1325
56	78	1306
57	79	1287
58	79	1268
59	79	1251
60	80	1233
61	80	1217
62	80	1200
63	81	1184
64	81	1170
65	81	1156
66	81	1141
67	82	1126
68	82	1113
69	82	1099
70	82	1085
71	83	1072
72	83	1060
73	83	1048
74	84	1036
75	84	1025
76	84	1014
77	84	1003
78	85	993
79	85	982
80	85	972
81	86	962
82	86	951
83	86	942
84	86	933
85	87	924
86	87	915
87	87	907
88	87	899
89	88	890
90	88	882
91	88	875
92	88	867
93	89	859
94	89	852
95	89	845
96	90	838
97	90	832
98	90	825
99	91	819
100	91	812
101	91	806
102	91	799
103	92	792
104	92	786
105	92	780
106	92	774
107	93	768
108	93	762
109	93	756
110	93	750
111	93	744
112	94	739
113	94	734
114	94	729
115	95	724
116	95	719
117	95	714
118	95	709
119	96	705
120	96	701
121	96	696
122	97	693
123	97	688
124	97	684
125	98	680
126	98	676
127	98	671
128	98	667
129	99	663
130	99	659
131	99	655
132	100	652
133	100	648
134	100	644
135	100	640
136	101	636
137	101	632
138	101	628
139	101	625
140	102	621
141	102	617
142	102	613
143	102	610
144	102	607
145	103	603
146	103	600
147	103	597
148	104	594
149	104	591
150	104	588
151	104	585
152	105	582
153	105	579
154	105	576
155	106	573
156	106	570
157	106	567
158	106	565
159	107	562
160	107	559
161	107	556
162	107	553
163	108	551
164	108	548
165	108	545
166	108	543
167	109	540
168	109	538
169	109	536
170	110	533
171	110	531
172	110	528
173	110	526
174	111	524
175	111	521
176	111	520
177	112	518
178	112	515
179	112	513
180	112	511
181	113	509
182	113	506
183	113	504
184	113	502
185	114	499
186	114	497
187	114	495
188	114	493
189	115	491
190	115	489
191	115	487
192	115	485
193	116	483
194	116	481
195	116	479
196	117	476
197	117	474
198	117	473
199	117	471
200	118	469
201	118	467
202	118	465
203	118	463
204	119	461
205	119	460
206	119	458
207	120	457
208	120	455
209	120	453
210	120	451
211	121	450
212	121	448
213	121	446
214	121	445
215	122	443
216	122	441
217	122	439
218	122	438
219	123	436
220	123	434
221	123	433
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	421
229	125	420
230	125	418
231	126	417
232	126	415
233	126	414
234	126	413
235	127	411
236	127	410
237	127	408
238	127	407
239	128	406
240	128	404
241	128	403
242	129	402
243	129	400
244	129	399
245	129	397
246	130	396
247	130	395
248	130	393
249	130	392
250	131	391
251	131	389
252	131	388
253	131	387
254	132	385
255	132	384
256	132	383
257	132	382
258	133	380
259	133	379
260	133	378
261	134	377
262	134	376
263	134	375
264	134	374
265	135	373
266	135	372
267	135	370
268	136	369
269	136	368
270	136	367
271	136	366
272	137	365
273	137	364
274	137	363
275	138	362
276	138	361
277	138	360
278	138	359
279	139	358
280	139	357
281	139	355
282	140	354
283	140	353
284	140	352
285	140	351
286	141	350
287	141	349
288	141	348
289	141	347
290	142	346
291	142	344
292	142	343
293	142	342
294	143	341
295	143	340
296	143	339
297	143	338
298	144	337
299	144	336
300	144	335
301	145	335
302	145	334
303	145	333
304	146	332
305	146	332
306	146	331
307	147	330
308	147	329
309	147	328
310	147	327
311	148	326
312	148	325
313	148	324
314	148	323
315	149	322
316	149	321
317	149	320
318	149	319
319	150	318
320	150	317
321	150	317
322	150	316
323	151	315
324	151	314
325	151	313
326	151	312
327	152	311
328	152	310
329	152	309
330	152	309
331	153	308
332	153	307
333	153	306
334	153	305
335	154	304
336	154	303
337	154	303
338	155	302
339	155	301
340	155	300
341	155	299
342	156	298
343	156	298
344	156	297
345	156	296
346	157	295
347	157	294
348	157	294
349	157	293
350	158	292
351	158	292
352	158	291
353	159	290
354	159	290
355	160	289
356	160	289
357	160	288
358	161	287
359	161	287
360	162	286
361	162	286
362	162	285
363	163	285
364	163	284
365	164	284
366	164	283
367	164	282
368	164	282
369	165	281
370	165	280
371	165	279
372	166	279
373	166	278
374	166	277
375	167	277
376	167	276
377	167	275
378	167	275
379	168	274
380	168	274
381	169	273
382	169	272
383	169	272
384	169	271
385	170	270
386	170	269
387	170	269
388	170	268
389	171	267
390	171	266
391	171	266
392	171	265
393	172	264
394	173	265
395	173	264
396	173	264
397	174	263
398	174	262
399	174	262
400	174	261
401	175	260
402	175	259
403	175	259
404	175	258
405	176	257
406	176	256
407	176	256
408	176	255
409	176	254
410	177	254
411	177	253
412	177	252
413	177	251
414	178	251
415	178	250
416	178	250
417	179	249
418	179	248
419	179	247
420	179	247
421	180	246
422	180	245
423	180	245
424	180	244
425	181	244
426	181	243
427	181	242
428	181	242
429	182	241
430	182	240
431	182	240
432	182	239
433	183	238
434	183	238
435	183	237
436	183	236
437	184	236
438	184	235
439	184	234
440	184	234
441	185	233
442	185	233
443	185	232
444	185	231
445	186	231
446	187	231
447	187	231
448	187	230
449	188	229
450	188	229
451	188	228
452	188	228
453	189	227
454	189	226
455	189	226
456	189	225
457	190	225
458	190	224
459	190	223
460	190	223
461	191	222
462	191	222
463	191	221
464	191	220
465	192	220
466	192	219
467	192	218
468	192	218
469	192	217
470	193	217
471	193	216
472	193	215
473	194	215
474	194	214
475	194	214
476	194	213
477	194	212
478	195	212
479	195	211
480	195	211
481	195	210
482	196	210
483	196	209
484	196	208
485	197	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	198	204
493	199	203
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	200	200
500	200	199
501	201	199
502	201	198
503	201	198
504	201	197
505	201	197
506	202	196
507	202	196
508	202	195
509	202	194
510	203	194
511	203	193
512	203	193
513	203	192
514	204	192
515	204	191
516	204	191
517	204	190
518	205	190
519	205	189
520	205	188
521	205	188
522	205	187
523	206	187
524	206	186
525	206	186
526	206	185
527	207	185
528	207	184
529	207	184
530	207	183
531	207	182
532	208	182
533	208	181
534	208	181
535	208	180
536	209	180
537	209	179
538	209	179
539	209	178
540	210	178
541	210	177
542	210	177
543	210	176
544	211	176
545	211	175
546	211	175
547	211	174
548	212	174
549	212	173
550	212	173
551	212	172
552	213	172
553	213	171
554	213	171
555	213	170
